date,time,title,description,location
2025-08-01,9:10,아침 운동,운동장 조깅 30분,운동장
2025-08-01,10:00,강의 복습,딥러닝 개론 1주차,집
2025-08-01,13:00,점심 약속,동아리 회식,홍대
2025-08-02,8:00,아침 운동,헬스장 유산소+무산소 1시간,아파트 체육관
2025-08-02,10:00,AI 에이전트 세미나,IT 이벤트,집
2025-08-02,13:00,점심 식사,친구와 점심 약속,학교 식당
2025-08-02,15:00,스터디 모임,자연어처리 논문 리뷰,중앙도서관
2025-08-02,17:00,인턴 과제,주간 리포트 정리 및 제출,집
2025-08-02,20:00,운동,스트레칭+코어근력,헬스장
2025-08-03,10:00,강의 시청,강화학습 강의 2주차,집
2025-08-03,14:00,스터디 발표 준비,슬라이드 제작,스터디룸 A
2025-08-03,16:00,팀 프로젝트 미팅,캡스톤 디자인 온라인 회의,ZOOM
2025-08-03,18:00,외출,가족과 저녁 외식,신촌 식당가
2025-08-04,9:00,프로젝트 회의,AI 프로젝트 진행 상황 점검,회의실 B
2025-08-04,13:30,자료 조사,연구 관련 논문 수집,도서관 5층
